session_key,Date,Workout Name,Duration,Exercise_Name,Equipment,Set_Order,Weight,Reps,Distance,Seconds,Notes,Workout_Notes,RPE
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Seated Row,Cable,6,130,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Seated Row,Cable,7,140,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Seated Row,Cable,8,150,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,"Pulldown	",Cable,9,85,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,"Pulldown	",Cable,10,85,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,"Pulldown	",Cable,11,85,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,"Pulldown	",Cable,12,100,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Curl,Dumbbell,13,20,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Curl,Dumbbell,14,20,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Curl,Dumbbell,15,20,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Curl,Dumbbell,16,20,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,T-bar Row,Lever (plate loaded),17,45,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,T-bar Row,Lever (plate loaded),18,70,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,T-bar Row,Lever (plate loaded),19,70,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,T-bar Row,Lever (plate loaded),20,70,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Leg Presses: 45° Leg Press,Sled,21,135,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Leg Presses: 45° Leg Press,Sled,22,225,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Leg Presses: 45° Leg Press,Sled,23,225,12,0,0,,,
